wp_url,local_url,status
"https://consilegy.com/wp/wp-content/uploads/2022/04/4b37158080a7bbd0f32cd409bc3dbc94-600x372.png","/images/wp/2022/04/4b37158080a7bbd0f32cd409bc3dbc94-600x372.png","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/4b37158080a7bbd0f32cd409bc3dbc94-768x476.png","/images/wp/2022/04/4b37158080a7bbd0f32cd409bc3dbc94-768x476.png","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/4b37158080a7bbd0f32cd409bc3dbc94.png","/images/wp/2022/04/4b37158080a7bbd0f32cd409bc3dbc94.png","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/50aa0115466f12f9c3bc30e35e93dd2d-1-1024x508.png","/images/wp/2022/04/50aa0115466f12f9c3bc30e35e93dd2d-1-1024x508.png","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/50aa0115466f12f9c3bc30e35e93dd2d-1-300x149.png","/images/wp/2022/04/50aa0115466f12f9c3bc30e35e93dd2d-1-300x149.png","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/50aa0115466f12f9c3bc30e35e93dd2d-1-600x298.png","/images/wp/2022/04/50aa0115466f12f9c3bc30e35e93dd2d-1-600x298.png","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/50aa0115466f12f9c3bc30e35e93dd2d-1-768x381.png","/images/wp/2022/04/50aa0115466f12f9c3bc30e35e93dd2d-1-768x381.png","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/50aa0115466f12f9c3bc30e35e93dd2d-1.png","/images/wp/2022/04/50aa0115466f12f9c3bc30e35e93dd2d-1.png","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/50aa0115466f12f9c3bc30e35e93dd2d-1024x511.jpg","/images/wp/2022/04/50aa0115466f12f9c3bc30e35e93dd2d-1024x511.jpg","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/50aa0115466f12f9c3bc30e35e93dd2d-300x150.jpg","/images/wp/2022/04/50aa0115466f12f9c3bc30e35e93dd2d-300x150.jpg","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/50aa0115466f12f9c3bc30e35e93dd2d-600x300.jpg","/images/wp/2022/04/50aa0115466f12f9c3bc30e35e93dd2d-600x300.jpg","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/50aa0115466f12f9c3bc30e35e93dd2d-768x383.jpg","/images/wp/2022/04/50aa0115466f12f9c3bc30e35e93dd2d-768x383.jpg","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/50aa0115466f12f9c3bc30e35e93dd2d.jpg","/images/wp/2022/04/50aa0115466f12f9c3bc30e35e93dd2d.jpg","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/56912ecb1919426691c599e067eafdbb-1024x865.jpg","/images/wp/2022/04/56912ecb1919426691c599e067eafdbb-1024x865.jpg","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/56912ecb1919426691c599e067eafdbb-300x254.jpg","/images/wp/2022/04/56912ecb1919426691c599e067eafdbb-300x254.jpg","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/56912ecb1919426691c599e067eafdbb-600x507.jpg","/images/wp/2022/04/56912ecb1919426691c599e067eafdbb-600x507.jpg","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/56912ecb1919426691c599e067eafdbb-768x649.jpg","/images/wp/2022/04/56912ecb1919426691c599e067eafdbb-768x649.jpg","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/56912ecb1919426691c599e067eafdbb.jpg","/images/wp/2022/04/56912ecb1919426691c599e067eafdbb.jpg","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/71339868aae5af2fe6f49dd0245398d1-1-1024x669.jpg","/images/wp/2022/04/71339868aae5af2fe6f49dd0245398d1-1-1024x669.jpg","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/71339868aae5af2fe6f49dd0245398d1-1-300x196.jpg","/images/wp/2022/04/71339868aae5af2fe6f49dd0245398d1-1-300x196.jpg","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/71339868aae5af2fe6f49dd0245398d1-1-600x392.jpg","/images/wp/2022/04/71339868aae5af2fe6f49dd0245398d1-1-600x392.jpg","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/71339868aae5af2fe6f49dd0245398d1-1-768x501.jpg","/images/wp/2022/04/71339868aae5af2fe6f49dd0245398d1-1-768x501.jpg","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/71339868aae5af2fe6f49dd0245398d1-1.jpg","/images/wp/2022/04/71339868aae5af2fe6f49dd0245398d1-1.jpg","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/BreadcrumbList-Schema.org_-1024x366.png","/images/wp/2022/04/BreadcrumbList-Schema.org_-1024x366.png","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/BreadcrumbList-Schema.org_-300x107.png","/images/wp/2022/04/BreadcrumbList-Schema.org_-300x107.png","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/BreadcrumbList-Schema.org_-600x214.png","/images/wp/2022/04/BreadcrumbList-Schema.org_-600x214.png","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/BreadcrumbList-Schema.org_-768x274.png","/images/wp/2022/04/BreadcrumbList-Schema.org_-768x274.png","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/BreadcrumbList-Schema.org_.png","/images/wp/2022/04/BreadcrumbList-Schema.org_.png","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/CRM-Free-Trial-Salesforce-30-Day-Trial-Salesforce-1024x557.jpg","/images/wp/2022/04/CRM-Free-Trial-Salesforce-30-Day-Trial-Salesforce-1024x557.jpg","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/CRM-Free-Trial-Salesforce-30-Day-Trial-Salesforce-300x163.jpg","/images/wp/2022/04/CRM-Free-Trial-Salesforce-30-Day-Trial-Salesforce-300x163.jpg","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/CRM-Free-Trial-Salesforce-30-Day-Trial-Salesforce-600x326.jpg","/images/wp/2022/04/CRM-Free-Trial-Salesforce-30-Day-Trial-Salesforce-600x326.jpg","downloaded"
"https://consilegy.com/wp/wp-content/uploads/2022/04/CRM-Free-Trial-Salesforce-30-Day-Trial-Salesforce-768x417.jpg","/images/wp/2022/04/CRM-Free-Trial-Salesforce-30-Day-Trial-Salesforce-768x417.jpg","downloaded"
